id_fantacalcio,squadra,nome,ruolo,fascia,source
7529,Roma,Koulierakis,D,POSSIBILE_SORPRESA,SOS Fanta guida difensori 2026/27 fornita dall'utente
4994,Udinese,Vojvoda,D,POSSIBILE_SORPRESA,SOS Fanta guida difensori 2026/27 fornita dall'utente
7414,Como,Kaiki,D,POSSIBILE_SORPRESA,SOS Fanta guida difensori 2026/27 fornita dall'utente
7329,Sassuolo,Obrador,D,POSSIBILE_SORPRESA,SOS Fanta guida difensori 2026/27 fornita dall'utente
7537,Genoa,Mitaj,D,POSSIBILE_SORPRESA,SOS Fanta guida difensori 2026/27 fornita dall'utente
5750,Genoa,Ostigard,D,FASCIA_MEDIA,SOS Fanta guida difensori 2026/27 fornita dall'utente
6485,Atalanta,Kristensen T.,D,FASCIA_MEDIA,SOS Fanta guida difensori 2026/27 fornita dall'utente
4807,Roma,Hermoso,D,FASCIA_MEDIA,SOS Fanta guida difensori 2026/27 fornita dall'utente
6496,Milan,Bartesaghi,D,FASCIA_MEDIA,SOS Fanta guida difensori 2026/27 fornita dall'utente
6664,Parma,Delprato,D,FASCIA_MEDIA,SOS Fanta guida difensori 2026/27 fornita dall'utente
4734,Bologna,Miranda J.,D,FASCIA_MEDIA,SOS Fanta guida difensori 2026/27 fornita dall'utente
6867,Como,Valle,D,FASCIA_MEDIA,SOS Fanta guida difensori 2026/27 fornita dall'utente
6893,Como,Kempf,D,FASCIA_MEDIA,SOS Fanta guida difensori 2026/27 fornita dall'utente
7219,Atalanta,Bernasconi,D,FASCIA_MEDIA,SOS Fanta guida difensori 2026/27 fornita dall'utente
6875,Como,Paz N.,C,SUPER_TOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
4777,Napoli,McTominay,C,SUPER_TOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2167,Bologna,Orsolini,C,TOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2194,Inter,Calhanoglu,C,TOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2423,Milan,Pulisic,C,TOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2517,Napoli,De Bruyne,C,TOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2379,Milan,Rabiot,C,TOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2766,Udinese,Zaniolo,C,TOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
632,Lazio,Zaccagni,C,SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
7078,Fiorentina,Mastantuono,C,SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
6908,Fiorentina,Atta,C,SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
7126,Como,Baturina,C,SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5172,Inter,Jones C.,C,SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5800,Fiorentina,Gudmundsson A.,C,SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
7436,Juventus,Alajbegovic,C,SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5687,Torino,Vlasic,C,SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
7556,Roma,Mora,C,SOTTO_SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
7314,Lazio,Taylor K.,C,SOTTO_SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5559,Como,Da Cunha,C,SOTTO_SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
1870,Inter,Barella,C,SOTTO_SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
4973,Juventus,McKennie,C,SOTTO_SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
6844,Bologna,Rowe,C,SOTTO_SEMITOP,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
6884,Juventus,Conceicao,C,FASCIA_ALTA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
152,Inter,Zielinski,C,FASCIA_ALTA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2606,Milan,Modric,C,FASCIA_ALTA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
4892,Milan,Saelemaekers,C,FASCIA_ALTA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
4220,Napoli,Zambo Anguissa,C,FASCIA_ALTA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
6398,Lazio,Isaksen,C,FASCIA_ALTA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2848,Lazio,Frattesi,C,FASCIA_ALTA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5119,Atalanta,Samardzic,C,FASCIA_ALTA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
536,Napoli,Politano,C,FASCIA_ALTA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
7129,Como,Rodriguez Je.,C,JOLLY_1,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
7070,Inter,Sucic P.,C,JOLLY_1,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2077,Atalanta,Pasalic,C,JOLLY_1,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2765,Bologna,Odgaard,C,JOLLY_1,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
4856,Milan,Chukwueze,C,JOLLY_1,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5761,Juventus,Zhegrova,C,JOLLY_1,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
530,Roma,Pellegrini Lo.,C,JOLLY_1,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
6274,Inter,Diouf,C,POSSIBILE_SORPRESA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
7464,Fiorentina,Oulai,C,POSSIBILE_SORPRESA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
7060,Torino,Cacciamani,C,POSSIBILE_SORPRESA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
6190,Roma,Pisilli,C,POSSIBILE_SORPRESA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5792,Atalanta,Ederson D.S.,C,FASCIA_MEDIA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5562,Juventus,Thuram K.,C,FASCIA_MEDIA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5823,Genoa,Baldanzi,C,FASCIA_MEDIA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
5844,Sassuolo,Thorstvedt,C,FASCIA_MEDIA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
184,Bologna,Bernardeschi,C,FASCIA_MEDIA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
6684,Udinese,Ekkelenkamp,C,FASCIA_MEDIA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
6151,Como,Perrone,C,FASCIA_MEDIA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
6372,Milan,Moreira,C,FASCIA_MEDIA,SOS Fanta guida centrocampisti 2026/27 fornita dall'utente
2764,Inter,Martinez L.,A,SUPER_TOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
5585,Roma,Malen,A,SUPER_TOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
4871,Inter,Thuram,A,TOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6397,Milan,Ramos G.,A,TOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6052,Napoli,Hojlund,A,TOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
5951,Juventus,Kolo Muani,A,TOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
2097,Fiorentina,Kean,A,SEMITOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
7017,Como,Douvikas,A,SEMITOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6434,Juventus,Yildiz,A,SEMITOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
5637,Udinese,Davis K.,A,SEMITOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
531,Sassuolo,Berardi,A,SOTTO_SEMITOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
2137,Atalanta,Scamacca,A,SOTTO_SEMITOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6435,Atalanta,Krstovic,A,SOTTO_SEMITOP,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
2061,Torino,Simeone,A,FASCIA_ALTA,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
309,Roma,Dybala,A,FASCIA_ALTA,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
7351,Napoli,Santos A.,A,FASCIA_ALTA,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6675,Bologna,Dovbyk,A,FASCIA_ALTA,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
2038,Sassuolo,Pinamonti,A,FASCIA_ALTA,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
7071,Inter,Esposito F.P.,A,JOLLY_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6572,Roma,Castro S.,A,JOLLY_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
4510,Milan,Leao,A,JOLLY_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6831,Napoli,Neres,A,JOLLY_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
2832,Juventus,Boga,A,JOLLY_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
7023,Fiorentina,Pellegrino M.,A,JOLLY_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6215,Napoli,Lucca,A,JOLLY_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
7484,Venezia,Adams A.,A,POSSIBILE_SORPRESA,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
5995,Atalanta,De Ketelaere,A,FASCIA_MEDIA,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
4371,Atalanta,Raspadori,A,FASCIA_MEDIA,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6967,Como,Diao,A,FASCIA_MEDIA,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
4923,Genoa,Colombo,A,SOPRA_LOW_COST,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6669,Inter,Bonny,A,JOLLY_2,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
5544,Juventus,David,A,JOLLY_2,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
7162,Napoli,Giovane,A,JOLLY_2,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
4359,Bologna,Piccoli,A,JOLLY_2,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
2155,Monza,Cutrone,A,LOW_COST_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6646,Torino,Adams C.,A,LOW_COST_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
4896,Cagliari,Maldini,A,LOW_COST_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6164,Genoa,Vitinha O.,A,LOW_COST_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
7547,Cagliari,Kevin Carlos,A,LOW_COST_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
5029,Lecce,Geubbels,A,LOW_COST_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
6530,Frosinone,Ghedjemis,A,LOW_COST_1,SOS Fanta guida attaccanti 2026/27 fornita dall'utente
